#Prestal File V0.0.1	2025-3-6_14-27-53_17272
#Generate by ../../../JHS_ana_v05/JHS_ana/testdata/20250226091806_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
3 94 608.714 13.412 8.40397
3 95 598.429 26.7015 6.94381
3 96 619.463 13.2991 36.7438
3 97 605.022 17.5089 3.15604
3 98 570.296 13.5132 15.753
3 99 597.031 20.2979 4.6369
3 100 595.615 14.2957 52.0193
3 101 587.008 13.142 10.3058
3 102 603.494 23.2877 2.71242
3 103 579.396 15.9208 20.4142
3 104 593.285 14.7862 44.3293
3 105 610.947 12.6172 35.3142
3 106 593.037 15.7789 12.2219
3 107 613.583 18.504 15.0476
3 108 596.612 18.0855 6.79746
3 109 592.618 17.4927 37.5941
3 110 594.328 13.8002 9.68232
3 111 605.348 17.2071 18.64
3 112 648.555 10.2668 2.4486
3 113 628.722 11.2144 2.17596
3 114 637.309 12.8046 3.64448
3 115 609.252 12.3252 6.55631
3 116 602.056 15.6358 2.72171
3 117 631.389 12.09 13.956
3 118 627.574 14.9014 2.80623
3 119 635.211 12.3357 21.6895
3 120 639.072 10.8195 17.0042
3 121 635.571 11.3232 15.4428
3 122 624.941 10.4012 14.6024
3 123 617.531 12.1104 24.8429
3 124 647.984 11.2525 7.34001
3 125 634.81 11.2031 3.4793
3 126 622.222 10.5706 10.5961
3 127 632.977 14.3136 7.31476
4 0 725.701 8.64067 41.1205
4 1 669.596 7.93844 11.4794
4 2 613.816 8.54214 14.9277
4 3 608.343 8.73635 16.0088
4 4 645.336 9.0643 41.6671
4 5 588.759 6.89995 2.77946
4 6 611.555 10.0707 6.51922
4 7 618.04 7.09009 5.81796
4 8 592.191 6.70055 57.2351
4 9 591.15 5.75927 59.4855
4 10 629.985 6.79445 68.4214
4 11 597.998 5.75962 82.8854
4 12 691.571 6.58285 9.57541
4 13 632.935 6.36538 11.3348
4 14 603.627 6.93524 98.5117
4 15 602.61 7.77188 10.2089
4 16 587.9 6.92517 165.623
4 17 600.183 6.10895 11.237
4 18 573.577 7.1563 71.1254
4 19 580.394 6.21972 2.46038
4 20 600.728 6.60952 1.93776
4 21 602.919 5.69117 2.07516
4 22 599.089 6.72689 2.86023
4 23 602.907 5.79714 2.84272
4 24 581.993 7.06313 18.4341
4 25 601.01 6.08561 3.08195
4 26 601.028 7.4908 4.75557
4 27 595.299 6.49712 2.8608
4 28 614.014 6.84449 26.5124
4 29 592.497 5.69187 9.01801
4 30 589.509 7.43553 2.83578
4 31 596.903 5.91605 5.5756
4 32 704.071 7.05231 61.5034
4 33 615.54 6.88397 64.2694
4 34 636.986 6.83927 2.78735
4 35 606.748 6.27208 1.54739
4 36 638.573 7.48508 3.84355
4 37 612.137 5.78493 1.9761
4 38 676.453 7.47208 5.18342
4 39 627.773 5.86247 4.3309
4 40 606.295 9.36517 31.9301
4 41 611.755 6.41231 3.74991
4 42 669.899 11.2709 23.5547
4 43 652.3 8.04018 9.75048
4 44 616.948 10.2155 46.224
4 45 619.94 6.43636 8.15506
4 46 681.56 10.9282 17.5444
4 47 638.672 7.19218 3.39534
4 48 607.88 11.5104 68.3985
4 49 612.089 6.57626 81.3834
4 50 613.396 11.5823 33.5919
4 51 585 6.72926 3.27484
4 52 599.959 10.9864 16.2445
4 53 594.474 9.18056 8.79541
4 54 603.797 10.7208 11.2507
4 55 599.128 8.64334 2.76371
4 56 618.014 8.34511 9.22943
4 57 613.815 7.2915 6.43886
4 58 617.912 9.65519 23.0336
4 59 658.027 6.94907 4.16709
4 60 693.179 6.77759 3.13138
4 61 652.373 9.70017 22.3442
4 62 678.822 9.25533 8.50862
4 63 618.323 6.65421 5.33717
4 64 701.084 7.19803 7.00793
4 65 698.607 10.6331 96.0724
4 66 597.508 7.60127 11.1892
4 67 648.391 11.0897 78.1198
4 68 609.423 8.90867 73.4285
4 69 587.008 7.82642 16.4565
4 70 611.623 11.7122 116.677
4 71 612.881 10.1914 13.7195
4 72 656.494 10.8 34.7178
