#Prestal File V0.0.1	2024-11-7_14-22-54_358243
#Generate by /mnt/d/jhs/tstData/20241107142157_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
4 98 596.887 6.72825 528.977
4 99 592.032 6.03249 75.9398
4 100 607.087 7.30204 354.046
4 101 597.189 7.31458 573.608
4 102 602.888 6.55367 624.205
4 103 597.922 7.31989 22.0075
4 104 605.71 7.44429 103.83
4 105 617.707 7.37372 219.433
4 106 596.249 5.74825 43.569
4 107 628.149 6.20751 142.772
4 108 601.423 6.26133 1163.44
4 109 601.728 5.7033 989.691
4 110 596.727 7.56398 229.603
4 111 616.46 6.15297 167.687
4 112 643.619 7.38087 455.083
4 113 628.767 5.89168 879.345
4 114 653.351 5.12905 504.818
4 115 608.871 6.69904 69.7515
4 116 603.958 5.95636 928.304
4 117 633.858 7.48598 126.486
4 118 638.227 6.0498 650.843
4 119 631.21 7.17364 65.1189
4 120 646.47 7.20831 33.7013
4 121 641.158 7.04871 474.535
4 122 647.133 6.39881 91.141
4 123 621.578 8.06741 433.008
4 124 666.988 7.29642 944.514
4 125 636.044 6.50995 346.751
4 126 633.483 7.31211 50.7376
4 127 639.367 5.86483 87.9933
6 0 722.684 21.8875 20.8988
6 1 704.062 12.6666 74.6023
6 2 632.482 19.0576 172.746
6 3 630.259 13.1489 163.028
6 4 665.331 23.1929 62.6871
6 5 641.922 12.9986 377.165
6 6 615.849 24.7918 90.2887
6 7 647.389 14.3934 290.015
6 8 619.118 18.4678 87.9089
6 9 605.897 12.2802 228.044
6 10 646.433 24.7855 388.958
6 11 649.705 11.8787 217.107
6 12 701.092 18.6047 394.758
6 13 663.5 12.064 656.272
6 14 615.485 11.1834 292.385
6 15 631.293 12.2452 280.377
6 16 608.263 18.6285 117.446
6 17 612.157 11.3432 208.499
6 18 613.45 18.3312 16.4804
6 19 606.493 10.7 48.524
6 20 613.918 13.6227 160.543
6 21 619.08 11.3715 207.804
6 22 630.305 16.916 350.677
6 23 622.557 10.4967 428.463
6 24 613.223 16.1808 44.4687
6 25 615.636 10.7602 168.013
6 26 623.046 18.1747 8.77183
6 27 636.048 10.497 88.2146
6 28 626.7 16.3688 67.4929
6 29 626.921 9.99545 86.2703
6 30 632.291 18.9283 3.12493
6 31 635.837 10.8413 57.5033
6 32 709.019 14.4942 39.6672
6 33 626.867 10.3354 116.584
6 34 657.638 15.9572 202.5
6 35 622.672 10.2877 193.765
6 36 658.246 17.9051 117.015
6 37 635.745 9.26448 533.085
6 38 671.577 18.1326 126.576
6 39 651.988 9.68625 466.289
6 40 620.246 16.953 101.066
6 41 632.709 9.74874 228.374
6 42 690.145 15.0262 145.743
6 43 678.151 9.34178 147.599
6 44 643.224 15.7498 382.058
6 45 645.24 9.74932 719.025
6 46 672.313 13.0776 233.659
6 47 659.713 9.60695 267.592
6 48 613.206 16.4249 99.4965
6 49 625.025 9.45887 353.574
6 50 618.963 15.3595 20.8939
6 51 617.494 9.4698 60.9823
6 52 608.75 13.9249 115.109
6 53 603.034 10.1191 312.381
6 54 606.396 13.9076 357.823
6 55 631.765 9.62318 539.864
6 56 635.547 13.9935 96.1101
6 57 624.934 4.26235 372.589
6 58 626.008 13.904 34.7207
6 59 669.935 10.02 130.764
6 60 695.453 11.9473 151.454
6 61 668.291 12.951 91.4218
6 62 676.452 14.4737 41.4657
6 63 644.129 11.672 74.9089
6 64 708.805 13.0757 95.4142
6 65 697.89 14.6745 124.575
6 66 618.25 15.0513 56.0899
6 67 660.648 15.8442 53.8696
6 68 615.132 15.9436 102.046
6 69 610.489 15.2675 181.391
6 70 622.816 17.2844 163.688
6 71 619.83 15.4313 88.5148
6 72 681.046 22.0315 33.8619
6 73 650.863 14.4903 71.5261
6 74 609.615 16.6954 67.0018
6 75 657.555 15.9849 90.1166
6 76 614.117 17.1067 673.332
6 77 625.398 17.7592 561.702
6 78 595.872 14.8958 308.72
6 79 603.686 16.349 257.566
6 80 650.209 13.2075 213.759
6 81 612.044 13.6452 224.895
6 82 638.671 13.2691 41.6896
6 83 615.881 16.11 73.824
6 84 620.031 14.9966 97.2516
6 85 636.381 13.4845 82.5816
6 86 619.934 14.9322 188.782
6 87 615.967 15.0499 86.0092
6 88 649.757 11.9418 95.6726
6 89 655.911 12.8659 70.6751
